URL,Date,View ID,City,Metro,Region,Country,Latitude,Longitude,Segment - Monthly Users,Monthly Users,Account,Web Property,View (Profile),Device,Operating System,Segment - Signed In,Segment - Streaming User,Segment - LiveStream User,Segment - Passport User,Event Category,Event Label,Event Action,Total Events,Event Value,Program,Show Name,Video Name,TP Media ID,Media Manager Content ID,Video Type,Audiences,Originating Station,Sessions,Session Duration,New Users,Daily Users,Platform,Station,MMG,OSBE,Joint Licensee?,Licensee type
https://image.pbs.org/stations/wsbe-color-cobranded-logo-KcZIhcA.png,2022-08-02,89288801-1,Mercer Island,Seattle-Tacoma WA,Washington,United States,47.5707,-122.2221,,,PBS Mobile Apps,PBS for Mobile Apps - SDK,PBS General Audience Mobile app - iOS,tablet,iOS,TRUE,TRUE,FALSE,TRUE,Video - MVOD iOS App,Antiques Roadshow | Special: Junk in the Trunk 7 | 3003715780 | full_length,MediaStart,1,,Antiques Roadshow,Antiques Roadshow,Special: Junk in the Trunk 7,3003715780,cf500600-4660-4bf6-9374-7f54a070d812,full_length,national,,,,,,Mobile,WSBE,No,No,TV only,Community
https://image.pbs.org/stations/wsbe-color-cobranded-logo-KcZIhcA.png,2022-07-07,89288801-1,Mercer Island,Seattle-Tacoma WA,Washington,United States,47.5707,-122.2221,,,PBS Mobile Apps,PBS for Mobile Apps - SDK,PBS General Audience Mobile app - iOS,tablet,iOS,TRUE,TRUE,FALSE,TRUE,Video - MVOD iOS App,Finding Your Roots | Secrets & Lies | 3037719222 | full_length,MediaStart,6,,Finding Your Roots,Finding Your Roots,Secrets & Lies,3037719222,e3c2e2b5-478e-43ec-865e-1934d4d843e3,full_length,national,,,,,,Mobile,WSBE,No,No,TV only,Community
https://image.pbs.org/stations/wsbe-color-cobranded-logo-KcZIhcA.png,2022-08-27,89288801-1,Mercer Island,Seattle-Tacoma WA,Washington,United States,47.5707,-122.2221,,,PBS Mobile Apps,PBS for Mobile Apps - SDK,PBS General Audience Mobile app - iOS,tablet,iOS,TRUE,TRUE,FALSE,TRUE,Video - MVOD iOS App,"Antiques Roadshow | Chicago, IL, Hour 1 | 2365562965 | full_length",MediaStart,2,,Antiques Roadshow,Antiques Roadshow,"Chicago, IL, Hour 1",2365562965,7869316c-f3ca-434e-8b17-215bb6784a32,full_length,national,,,,,,Mobile,WSBE,No,No,TV only,Community
https://image.pbs.org/stations/wsbe-color-cobranded-logo-KcZIhcA.png,2022-09-29,65185712,Providence,"Providence-New Bedford,MA",Rhode Island,United States,41.824,-71.4128,,,*www.pbs.org,PBS.org - UA Pilot,01 Overall Traffic - UA,desktop,Macintosh,TRUE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,1,,,1,pbs.org,WSBE,No,No,TV only,Community
https://image.pbs.org/stations/wsbe-color-cobranded-logo-KcZIhcA.png,2022-07-06,68900583,Portland,Portland OR,Oregon,United States,45.5152,-122.6784,,,PBS OTT Apps,PBS for Roku App,PBS for Roku App,desktop,(not set),TRUE,TRUE,FALSE,TRUE,,,,,,,,,,,,,,1,,,1,OTT,WSBE,No,No,TV only,Community
https://image.pbs.org/stations/wsbe-color-cobranded-logo-KcZIhcA.png,2022-09-13,89288801-1,Dallas,Dallas-Ft. Worth TX,Texas,United States,32.7767,-96.797,,,PBS Mobile Apps,PBS for Mobile Apps - SDK,PBS General Audience Mobile app - iOS,mobile,iOS,FALSE,TRUE,FALSE,FALSE,Video - iOS App,Antiques Roadshow | Vintage Oklahoma City | 3012108382 | full_length,MediaStop,1,16,Antiques Roadshow,Antiques Roadshow,Vintage Oklahoma City,3012108382,aa87badf-e371-42bb-9a55-d04e5f5280fe,full_length,national,,,,,,Mobile,WSBE,No,No,TV only,Community
https://image.pbs.org/stations/wsbe-color-cobranded-logo-KcZIhcA.png,2022-09-05,89288801-1,Weymouth,Boston MA-Manchester NH,Massachusetts,United States,42.2181,-70.941,,,PBS Mobile Apps,PBS for Mobile Apps - SDK,PBS General Audience Mobile app - iOS,tablet,iOS,TRUE,TRUE,FALSE,FALSE,Video - MVOD iOS App,Poldark | Episode 2 | 3033055554 | full_length,MediaStop,1,3186,Poldark,Poldark,Episode 2,3033055554,f580fc63-6d97-4406-8b4d-2e5d36a30e3a,full_length,national,,,,,,Mobile,WSBE,No,No,TV only,Community
https://image.pbs.org/stations/wsbe-color-cobranded-logo-KcZIhcA.png,2022-08-01,89288801-1,Sandwich,Boston MA-Manchester NH,Massachusetts,United States,41.759,-70.4939,,,PBS Mobile Apps,PBS for Mobile Apps - SDK,PBS General Audience Mobile app - iOS,tablet,iOS,FALSE,TRUE,FALSE,FALSE,Video - MVOD iOS App,Thou Shalt Not Kill | Episode 12 | 3069823304 | full_length,MediaStop,2,3333,Thou Shalt Not Kill,Thou Shalt Not Kill,Episode 12,3069823304,df63a22a-aa7b-4e55-a300-5dcc3e83ae3b,full_length,national,,,,,,Mobile,WSBE,No,No,TV only,Community
https://image.pbs.org/stations/wsbe-color-cobranded-logo-KcZIhcA.png,2022-08-01,89288801-1,Boston,Boston MA-Manchester NH,Massachusetts,United States,42.3601,-71.0589,,,PBS Mobile Apps,PBS for Mobile Apps - SDK,PBS General Audience Mobile app - iOS,tablet,iOS,TRUE,TRUE,FALSE,FALSE,Video - iOS App,PBS NewsHour | CIA drone strike kills al-Qaida leader in Kabul | 3070506192 | clip,MediaStop,2,423,PBS NewsHour,,CIA drone strike kills al-Qaida leader in Kabul,3070506192,,clip,,,,,,,Mobile,WSBE,No,No,TV only,Community
https://image.pbs.org/stations/wsbe-color-cobranded-logo-KcZIhcA.png,2022-07-02,89288801-2,Boston,Boston MA-Manchester NH,Massachusetts,United States,42.3601,-71.0589,,,PBS Mobile Apps,PBS for Mobile Apps - SDK,PBS General Audience Mobile app - Android,mobile,Android,TRUE,TRUE,FALSE,TRUE,Video - Android App,Hotel Portofino | First Impressions | 3066953641 | full_length,MediaStart,1,,Hotel Portofino,Hotel Portofino,First Impressions,3066953641,1b5c888d-9716-4795-af87-28f545eaac2a,full_length,national,,,,,,Mobile,WSBE,No,No,TV only,Community
